gm1,gm3_a0,gm3_0a,gm5_a00,gm5_0a0,gm5_00a,frequency
31,-0.005,0.0,0.0012,-0.005,0.01,0.005,8918.468793146025
32,-0.005,0.0,0.0012,-0.005,0.01,0.0,8887.24825847321
33,-0.005,0.0,0.0012,-0.005,0.01,-0.01,8779.611104777241
34,-0.005,0.0,0.0012,-0.005,0.01,0.01,8930.752369064963
35,-0.005,0.0,0.0012,-0.005,0.0,-0.005,9278.441280011555
36,-0.005,0.0,0.0012,-0.005,0.0,0.01,9280.309301947043
37,-0.005,0.0,0.0012,-0.005,0.0,-0.01,9280.3649832918
38,-0.005,0.0,0.0012,-0.005,0.0,0.0,9278.832747583203
39,-0.005,0.0,0.0012,-0.005,0.0,0.005,9278.402557536225
40,-0.005,0.0,0.0012,-0.005,-0.005,0.005,9141.78438555704
41,-0.005,0.0,0.0012,-0.005,-0.005,0.0,9169.861730766024
42,-0.005,0.0,0.0012,-0.005,-0.005,0.01,9104.81246917788
43,-0.005,0.0,0.0012,-0.005,-0.005,-0.005,9192.56269588961
44,-0.005,0.0,0.0012,-0.005,-0.005,-0.01,9217.40165329
45,-0.005,0.0,0.0012,-0.005,-0.01,0.005,8844.955015759642
46,-0.005,0.0,0.0012,-0.005,-0.01,-0.005,8918.306172262657
47,-0.005,0.0,0.0012,-0.005,-0.01,-0.01,8930.591715268863
48,-0.005,0.0,0.0012,-0.005,-0.01,0.0,8887.026343092677
49,-0.005,0.0,0.0012,-0.005,-0.01,0.01,8779.267418085024
50,-0.005,0.0,0.0012,0.0,0.0,0.0,9346.284939506597
51,-0.005,0.0,0.0012,0.0,0.0,0.005,9350.114675472083
52,-0.005,0.0,0.0012,0.0,0.0,0.01,9364.673665307535
53,-0.005,0.0,0.0012,0.0,0.0,-0.005,9350.122217760898
54,-0.005,0.0,0.0012,0.0,0.0,-0.01,9364.6922453956
55,-0.005,0.0,0.0012,0.0,-0.005,0.0,9233.403792722405
56,-0.005,0.0,0.0012,0.0,-0.005,-0.01,9226.848310555224
57,-0.005,0.0,0.0012,0.0,-0.005,0.005,9233.42204994581
58,-0.005,0.0,0.0012,0.0,-0.005,0.01,9226.828715042688
59,-0.005,0.0,0.0012,0.0,-0.005,-0.005,9233.421473401635
60,-0.005,0.0,0.0012,0.0,-0.01,-0.01,8907.553820906245
61,-0.005,0.0,0.0012,0.0,-0.01,0.005,8934.087679211809
62,-0.005,0.0,0.0012,0.0,-0.01,-0.005,8934.08125183236
63,-0.005,0.0,0.0012,0.0,-0.01,0.0,8944.432705650122
64,-0.005,0.0,0.0012,0.0,-0.01,0.01,8907.495305502784
65,-0.005,0.0,0.0012,0.0,0.01,-0.01,8907.804306757223
66,-0.005,0.0,0.0012,0.0,0.01,0.01,8907.735031116803
67,-0.005,0.0,0.0012,0.0,0.01,0.0,8944.645311538225
68,-0.005,0.0,0.0012,0.0,0.01,0.005,8934.26159741573
69,-0.005,0.0,0.0012,0.0,0.01,-0.005,8934.278800286596
70,-0.005,0.0,0.0012,0.0,0.005,-0.005,9233.58809541672
71,-0.005,0.0,0.0012,0.0,0.005,-0.01,9227.053296232703
72,-0.005,0.0,0.0012,0.0,0.005,0.005,9233.546007360963
73,-0.005,0.0,0.0012,0.0,0.005,0.01,9226.963578697225
74,-0.005,0.0,0.0012,0.0,0.005,0.0,9233.52390636553
75,-0.005,0.0,0.0012,0.005,0.01,0.01,8779.4388857956
76,-0.005,0.0,0.0012,0.005,0.01,0.005,8845.125807063841
77,-0.005,0.0,0.0012,0.005,0.01,0.0,8887.194146311056
78,-0.005,0.0,0.0012,0.005,0.01,-0.005,8918.488813938002
79,-0.005,0.0,0.0012,0.005,0.01,-0.01,8930.8077477084
80,-0.005,0.0,0.0012,0.005,-0.01,-0.01,8779.31913931644
81,-0.005,0.0,0.0012,0.005,-0.01,0.0,8887.0534931689
82,-0.005,0.0,0.0012,0.005,-0.01,0.01,8930.543141405602
83,-0.005,0.0,0.0012,0.005,-0.01,0.005,8918.272930545665
