,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,-22.9559,-22.803684,-22.352491,-21.586978,-20.454719,-18.881651,-16.742188,-13.766613,-9.806799,6.190234,12.947279,17.908356,22.247526,26.134668,29.805764,33.436181,37.125846,40.510485,43.927352,47.216603,50.005661,53.579525,57.334571,60.758264,64.202861,67.586591,70.983392,74.356595,77.728078,81.099894,84.456669,87.736855,90.91771,93.881235,96.604941,98.719956
11,7.526818,8.476878,8.981563,10.543636,12.464269,14.614266,16.84788,19.220035,21.65065,24.105384,26.710762,28.954546,31.674641,34.323231,37.024862,39.767473,42.567065,45.389154,48.261931,51.322109,54.212915,56.83865,59.966152,63.108697,66.230729,69.112597,72.503886,75.600246,78.70403,81.8202,84.923753,87.994732,90.990349,93.782751,96.338538,98.327709
12,25.194278,25.335155,25.676646,26.248705,26.981032,28.01467,29.204481,30.486117,31.913404,33.617701,35.305165,37.052302,39.034159,41.073724,43.042443,45.265167,47.552712,49.917633,52.630648,54.863597,57.471582,60.13114,62.850522,65.396353,68.262524,71.107188,73.974242,76.849202,79.633017,82.50679,85.378106,88.219661,90.989913,93.623125,95.996529,97.86674
13,34.702718,34.823563,35.069633,35.346544,35.984335,36.681727,37.491527,38.459728,39.547655,40.771197,42.114135,43.565144,45.135285,46.669374,48.422691,50.275008,52.200674,54.193527,55.617541,57.953182,60.60178,62.756181,65.35263,67.811492,70.161329,72.723856,75.323618,77.973504,80.512208,83.16267,85.80072,88.425805,90.990088,93.336381,95.619417,97.361614
14,41.847827,41.912436,42.092914,42.253781,42.698565,43.335263,44.012913,44.762584,45.666671,46.630252,47.707206,48.920589,50.17917,51.562683,53.054334,54.615324,56.272741,57.983031,59.211425,61.223181,63.335174,65.658399,67.626601,69.830162,72.026171,74.332941,76.677815,79.07508,81.474651,83.891269,86.307476,88.70963,91.061409,93.120733,95.215508,96.823386
15,48.090369,48.163386,48.333133,48.546126,48.910015,49.35041,49.877797,50.495054,51.200527,51.993523,52.865601,54.059367,55.111771,56.230539,57.457447,58.763255,60.176837,61.377496,62.57661,64.326361,66.131242,67.985651,69.893139,71.844836,73.853435,75.868613,77.961304,80.100489,82.032369,84.443946,86.629331,88.835556,90.973524,93.047956,94.877654,96.329423
16,53.804376,54.00927,54.121701,54.315242,54.413803,54.900855,55.347482,55.818315,56.388927,57.058071,57.619319,58.412433,59.305463,60.275438,61.293486,62.394461,63.526599,64.726889,66.06363,67.223975,68.770113,70.401215,72.060637,73.771265,75.532065,77.338123,79.193188,80.941697,82.80123,84.718587,86.949403,88.919687,90.902045,92.731862,94.376844,95.720606
17,58.822426,58.861921,58.953061,59.089926,59.30861,59.585776,59.958243,60.34171,60.804536,61.320003,61.923706,62.599829,63.330373,64.121795,64.976991,65.882184,66.81948,67.883788,68.724437,70.006655,71.332943,72.714329,74.15162,75.632975,77.165166,78.739484,80.31636,81.898026,83.542658,85.24323,86.976565,88.728244,90.740384,92.359904,93.833862,95.049261
18,63.410067,63.421599,63.492751,63.650491,63.825821,64.049744,64.321959,64.639582,65.028635,65.462123,65.946151,66.471859,67.0626,67.728686,68.380418,69.156883,69.990824,70.865332,71.571529,72.646617,73.767601,75.024882,76.155895,77.418454,78.899712,80.141601,81.448591,82.820735,84.245772,85.724768,87.235813,88.76957,90.558372,91.970148,93.265862,94.170074
19,67.693762,67.71471,67.773118,67.8722,67.999288,68.188204,68.40778,68.672068,68.963475,69.319076,69.705989,70.142811,70.562958,71.097269,71.679969,72.306612,72.975378,73.707651,74.295569,75.164666,76.087742,77.056473,78.068101,79.108026,80.37434,81.422452,82.524671,83.686,84.952285,86.181215,87.551412,89.021566,90.296491,91.525135,92.644583,93.408244
20,71.697418,71.721786,71.765575,71.844232,71.934848,72.086533,72.255642,72.457533,72.679521,72.965602,73.271414,73.552996,73.934717,74.352817,74.812133,75.299595,75.837167,76.188282,76.862178,77.569457,78.321603,79.095778,80.255941,80.99822,81.82011,82.67136,83.577834,84.517493,85.514252,86.557963,87.90347,88.954264,90.004377,91.02852,91.958443,92.606646
21,75.467812,75.481915,75.514866,75.57272,75.643652,75.756517,75.84946,76.024668,76.165172,76.368876,76.622512,76.88019,77.170833,77.480561,77.818184,78.192621,78.363851,78.859002,79.369271,79.913699,80.484682,81.455942,81.994934,82.569451,83.188607,83.856333,84.566997,85.319501,86.110928,87.176938,87.988322,88.814995,89.65385,90.469998,91.217982,91.749722
22,79.024366,79.035262,79.063654,79.095356,79.154536,79.222666,79.308275,79.411549,79.538439,79.677171,79.839691,80.016121,80.215122,80.420716,80.663626,80.718246,81.042097,81.385741,81.748,82.142713,82.905166,83.257031,83.643551,84.059137,84.510952,84.997952,85.495202,86.133067,86.854813,87.429118,88.031311,88.645469,89.274287,89.879461,90.25639,90.824022
23,82.431743,82.440612,82.452113,82.474088,82.508183,82.548137,82.598694,82.662058,82.738989,82.813233,82.905116,83.017288,82.885637,83.044094,83.218061,83.403001,83.603606,83.812731,84.413308,84.591195,84.792082,84.936283,85.264698,85.478225,85.785819,86.108332,86.601456,86.923514,87.274429,87.646247,88.034398,88.436763,88.844637,89.011786,89.485998,89.834563
24,85.647541,85.653616,85.658099,85.682335,85.674363,85.689702,85.706167,85.798531,85.82299,85.853108,85.830356,85.864904,85.899914,85.986888,86.041751,86.102363,86.171653,86.24543,86.327733,86.415515,86.514774,86.621093,86.734221,86.858823,87.161521,87.278104,87.410029,87.554822,87.711249,87.875549,88.052875,88.234573,88.153462,88.39547,88.59462,88.704301
25,87.490462,87.490583,87.490454,87.490527,87.490471,87.490476,87.490437,87.490567,87.490545,87.49053,87.490459,87.490558,87.490595,87.490586,87.490558,87.490583,87.490533,87.490544,87.490555,87.490549,87.490573,87.49057,87.49051,87.49057,87.490557,87.490576,87.490595,87.490501,87.490518,87.490521,87.490482,87.490563,87.490583,87.490561,87.490554,87.49059
