exx,eyy,ezz,exy,exz,eyz,frequency
122,0.01,0.01,0.01,0.01,0.01,0.0,-7181.132669166095
123,0.01,0.01,0.01,0.01,0.0,-0.01,-7180.569657250564
124,0.01,0.01,0.01,0.01,0.0,0.0,-6836.53256378893
125,0.01,0.01,0.01,0.01,0.0,0.01,-7180.687104934224
126,0.01,0.01,0.01,0.0,-0.01,0.0,-6834.224901535641
127,0.01,0.01,0.01,0.0,-0.01,-0.01,-7180.246469232225
128,0.01,0.01,0.01,0.0,-0.01,0.01,-7179.555715243081
129,0.01,0.01,0.01,0.0,0.0,0.0,-6030.640401211203
130,0.01,0.01,0.01,0.0,0.0,0.01,-6837.424415238401
131,0.01,0.01,0.01,0.0,0.0,-0.01,-6835.660778583025
132,0.01,0.01,0.01,0.0,0.01,0.01,-7179.599776085361
133,0.01,0.01,0.01,0.0,0.01,0.0,-6834.324270480784
134,0.01,0.01,0.01,0.0,0.01,-0.01,-7179.130704522
135,0.01,0.01,0.0,-0.01,-0.01,0.01,-8507.256117404942
136,0.01,0.01,0.0,-0.01,-0.01,-0.01,-8394.865569003001
137,0.01,0.01,0.0,-0.01,-0.01,0.0,-8388.557010752356
138,0.01,0.01,0.0,-0.01,0.0,0.01,-8388.403141827077
139,0.01,0.01,0.0,-0.01,0.0,-0.01,-8388.33994607016
140,0.01,0.01,0.0,-0.01,0.0,0.0,-8315.181311763457
141,0.01,0.01,0.0,-0.01,0.01,0.0,-8388.435014559998
142,0.01,0.01,0.0,-0.01,0.01,-0.01,-8505.3547112704
143,0.01,0.01,0.0,-0.01,0.01,0.01,-8394.693684198723
144,0.01,0.01,0.0,0.0,0.0,-0.01,-7695.53754646937
145,0.01,0.01,0.0,0.0,0.0,0.0,-7548.844400055395
146,0.01,0.01,0.0,0.0,0.0,0.01,-7695.5677236282245
147,0.01,0.01,0.0,0.0,-0.01,-0.01,-7751.304313586065
148,0.01,0.01,0.0,0.0,-0.01,0.0,-7701.957665596803
149,0.01,0.01,0.0,0.0,-0.01,0.01,-7750.249436321001
150,0.01,0.01,0.0,0.0,0.01,-0.01,-7750.141329102768
151,0.01,0.01,0.0,0.0,0.01,0.01,-7751.1483048472355
152,0.01,0.01,0.0,0.0,0.01,0.0,-7701.849544673124
153,0.01,0.01,0.0,0.01,-0.01,0.0,-8388.697692147556
154,0.01,0.01,0.0,0.01,-0.01,-0.01,-8508.308364402064
155,0.01,0.01,0.0,0.01,-0.01,0.01,-8396.239427952016
156,0.01,0.01,0.0,0.01,0.0,0.01,-8388.597126811226
157,0.01,0.01,0.0,0.01,0.0,0.0,-8316.572163438563
158,0.01,0.01,0.0,0.01,0.0,-0.01,-8388.564154701025
159,0.01,0.01,0.0,0.01,0.01,-0.01,-8396.214137816165
160,0.01,0.01,0.0,0.01,0.01,0.0,-8388.659957178385
161,0.01,0.01,0.0,0.01,0.01,0.01,-8508.120748275625
162,0.01,-0.01,0.01,0.0,0.0,0.0,-10262.649536029698
163,0.01,-0.01,0.01,0.0,0.0,0.01,-10384.25259134141
164,0.01,-0.01,0.01,0.0,0.0,-0.01,-10384.21305295568
165,0.01,-0.01,0.01,0.0,0.01,0.01,-11025.711491478543
166,0.01,-0.01,0.01,0.0,0.01,0.0,-10967.304051660609
167,0.01,-0.01,0.01,0.0,0.01,-0.01,-11025.67474032337
168,0.01,-0.01,0.01,0.0,-0.01,0.0,-10966.94505765149
169,0.01,-0.01,0.01,0.0,-0.01,-0.01,-11025.88138761481
170,0.01,-0.01,0.01,0.0,-0.01,0.01,-11025.875297372226
171,0.01,-0.01,0.01,0.01,0.01,0.01,-11109.66592576
172,0.01,-0.01,0.01,0.01,0.01,-0.01,-11040.238451906522
173,0.01,-0.01,0.01,0.01,0.01,0.0,-11025.821325295921
174,0.01,-0.01,0.01,0.01,0.0,0.01,-10413.361216790885
175,0.01,-0.01,0.01,0.01,0.0,0.0,-10379.90667285793
176,0.01,-0.01,0.01,0.01,0.0,-0.01,-10413.517755756024
177,0.01,-0.01,0.01,0.01,-0.01,-0.01,-11109.82171105332
178,0.01,-0.01,0.01,0.01,-0.01,0.0,-11026.004242867526
179,0.01,-0.01,0.01,0.01,-0.01,0.01,-11040.56880244032
180,0.01,-0.01,0.01,-0.01,-0.01,0.0,-11025.984501977344
181,0.01,-0.01,0.01,-0.01,-0.01,0.01,-11109.837099916944
182,0.01,-0.01,0.01,-0.01,-0.01,-0.01,-11040.513113231716
183,0.01,-0.01,0.01,-0.01,0.0,-0.01,-10413.37856459737
184,0.01,-0.01,0.01,-0.01,0.0,0.0,-10379.899337367682
185,0.01,-0.01,0.01,-0.01,0.0,0.01,-10413.551431176098
186,0.01,-0.01,0.01,-0.01,0.01,0.0,-11025.791294197823
187,0.01,-0.01,0.01,-0.01,0.01,-0.01,-11109.725372793124
188,0.01,-0.01,0.01,-0.01,0.01,0.01,-11040.352560978723
189,0.01,-0.01,-0.01,0.01,0.0,0.01,-13138.4733933124
190,0.01,-0.01,-0.01,0.01,0.0,0.0,-13147.7274053316
191,0.01,-0.01,-0.01,0.01,0.0,-0.01,-13138.427314834442
192,0.01,-0.01,-0.01,0.01,-0.01,-0.01,-13257.14660134049
193,0.01,-0.01,-0.01,0.01,-0.01,0.01,-13254.3527690025
194,0.01,-0.01,-0.01,0.01,-0.01,0.0,-13272.697088524865
195,0.01,-0.01,-0.01,0.01,0.01,0.0,-13272.713217536644
196,0.01,-0.01,-0.01,0.01,0.01,-0.01,-13254.365433036026
197,0.01,-0.01,-0.01,0.01,0.01,0.01,-13257.205322643844
198,0.01,-0.01,-0.01,0.0,0.0,-0.01,-13014.006148628809
199,0.01,-0.01,-0.01,0.0,0.0,0.01,-13013.98835231916
200,0.01,-0.01,-0.01,0.0,0.0,0.0,-13028.153955801721
201,0.01,-0.01,-0.01,0.0,0.01,0.0,-13152.535457726017
202,0.01,-0.01,-0.01,0.0,0.01,0.01,-13138.407370443663
203,0.01,-0.01,-0.01,0.0,0.01,-0.01,-13138.374588317001
204,0.01,-0.01,-0.01,0.0,-0.01,-0.01,-13138.479124472025
205,0.01,-0.01,-0.01,0.0,-0.01,0.0,-13152.60335104
206,0.01,-0.01,-0.01,0.0,-0.01,0.01,-13138.489899055503
207,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-13254.438654293928
208,0.01,-0.01,-0.01,-0.01,-0.01,0.01,-13257.243088570403
209,0.01,-0.01,-0.01,-0.01,-0.01,0.0,-13272.796166894885
210,0.01,-0.01,-0.01,-0.01,0.0,0.0,-13147.741852941608
211,0.01,-0.01,-0.01,-0.01,0.0,-0.01,-13138.45986778064
212,0.01,-0.01,-0.01,-0.01,0.0,0.01,-13138.451156424888
213,0.01,-0.01,-0.01,-0.01,0.01,-0.01,-13257.253220901317
214,0.01,-0.01,-0.01,-0.01,0.01,0.01,-13254.445792226117
215,0.01,-0.01,-0.01,-0.01,0.01,0.0,-13272.784415720042
216,0.01,-0.01,0.0,-0.01,0.0,-0.01,-11244.440032358416
217,0.01,-0.01,0.0,-0.01,0.0,0.0,-11253.2613043321
218,0.01,-0.01,0.0,-0.01,0.0,0.01,-11244.444486030623
219,0.01,-0.01,0.0,-0.01,-0.01,0.0,-11396.8112957108
220,0.01,-0.01,0.0,-0.01,-0.01,0.01,-11388.674963530226
221,0.01,-0.01,0.0,-0.01,-0.01,-0.01,-11384.590815165604
222,0.01,-0.01,0.0,-0.01,0.01,-0.01,-11388.603889629605
223,0.01,-0.01,0.0,-0.01,0.01,0.0,-11396.769020433801
224,0.01,-0.01,0.0,-0.01,0.01,0.01,-11384.541093673224
225,0.01,-0.01,0.0,0.0,0.0,-0.01,-11119.61624206728
226,0.01,-0.01,0.0,0.0,0.0,0.01,-11119.600213735226
227,0.01,-0.01,0.0,0.0,0.0,0.0,-11132.694569212224
228,0.01,-0.01,0.0,0.0,0.01,-0.01,-11259.991052741027
229,0.01,-0.01,0.0,0.0,0.01,0.0,-11273.8271437584
230,0.01,-0.01,0.0,0.0,0.01,0.01,-11260.018005485823
231,0.01,-0.01,0.0,0.0,-0.01,0.01,-11260.030526850682
232,0.01,-0.01,0.0,0.0,-0.01,-0.01,-11260.02458450717
233,0.01,-0.01,0.0,0.0,-0.01,0.0,-11273.874924035024
234,0.01,-0.01,0.0,0.01,0.0,-0.01,-11244.456998733456
235,0.01,-0.01,0.0,0.01,0.0,0.0,-11253.2636381228
236,0.01,-0.01,0.0,0.01,0.0,0.01,-11244.47544968084
237,0.01,-0.01,0.0,0.01,0.01,0.01,-11388.64038701033
238,0.01,-0.01,0.0,0.01,0.01,-0.01,-11384.53981329288
239,0.01,-0.01,0.0,0.01,0.01,0.0,-11396.789731039504
240,0.01,-0.01,0.0,0.01,-0.01,-0.01,-11388.68435469284
241,0.01,-0.01,0.0,0.01,-0.01,0.0,-11396.841827904065
242,0.01,-0.01,0.0,0.01,-0.01,0.01,-11384.621544382562
243,0.0,0.01,0.0,0.01,0.0,0.0,-8923.842726684648
244,0.0,0.01,0.0,0.01,0.0,0.01,-9075.387263339928
245,0.0,0.01,0.0,0.01,0.0,-0.01,-9075.339440459777
246,0.0,0.01,0.0,0.01,-0.01,0.0,-8917.573169007408
247,0.0,0.01,0.0,0.01,-0.01,0.01,-9057.215648054025
248,0.0,0.01,0.0,0.01,-0.01,-0.01,-9071.931003489224
249,0.0,0.01,0.0,0.01,0.01,0.01,-9071.9816747964
250,0.0,0.01,0.0,0.01,0.01,0.0,-8917.596210650625
251,0.0,0.01,0.0,0.01,0.01,-0.01,-9057.19394944268
252,0.0,0.01,0.0,-0.01,-0.01,-0.01,-9057.23925008184
253,0.0,0.01,0.0,-0.01,-0.01,0.0,-8917.538040002088
254,0.0,0.01,0.0,-0.01,-0.01,0.01,-9072.02396449193
255,0.0,0.01,0.0,-0.01,0.01,-0.01,-9071.99805727937
256,0.0,0.01,0.0,-0.01,0.01,0.01,-9057.306249554162
257,0.0,0.01,0.0,-0.01,0.01,0.0,-8917.54257277308
258,0.0,0.01,0.0,-0.01,0.0,0.01,-9075.47376400896
259,0.0,0.01,0.0,-0.01,0.0,-0.01,-9075.416604930362
260,0.0,0.01,0.0,-0.01,0.0,0.0,-8923.80040592516
261,0.0,0.01,0.0,0.0,0.01,-0.01,-8917.582801166114
262,0.0,0.01,0.0,0.0,0.01,0.01,-8917.617552527045
263,0.0,0.01,0.0,0.0,0.01,0.0,-8770.276986159048
264,0.0,0.01,0.0,0.0,0.0,-0.01,-8919.074526485905
265,0.0,0.01,0.0,0.0,0.0,0.01,-8919.158390159615
266,0.0,0.01,0.0,0.0,0.0,0.0,-8781.061634167761
267,0.0,0.01,0.0,0.0,-0.01,0.0,-8770.211431451648
268,0.0,0.01,0.0,0.0,-0.01,-0.01,-8917.544461428
269,0.0,0.01,0.0,0.0,-0.01,0.01,-8917.624540580626
270,0.0,0.01,0.01,0.0,0.0,-0.01,-8316.200091012804
271,0.0,0.01,0.01,0.0,0.0,0.0,-7548.273408639999
272,0.0,0.01,0.01,0.0,0.0,0.01,-8317.726552868042
273,0.0,0.01,0.01,0.0,0.01,0.01,-8388.368338337297
274,0.0,0.01,0.01,0.0,0.01,-0.01,-8387.943741575524
275,0.0,0.01,0.01,0.0,0.01,0.0,-7699.653239438225
276,0.0,0.01,0.01,0.0,-0.01,0.01,-8388.357530952528
277,0.0,0.01,0.01,0.0,-0.01,0.0,-7699.637620361242
278,0.0,0.01,0.01,0.0,-0.01,-0.01,-8387.930736408607
279,0.0,0.01,0.01,-0.01,0.0,-0.01,-8387.951434777598
280,0.0,0.01,0.01,-0.01,0.0,0.01,-8388.359362712168
281,0.0,0.01,0.01,-0.01,0.0,0.0,-7700.904045492025
282,0.0,0.01,0.01,-0.01,0.01,0.01,-8396.137168071844
283,0.0,0.01,0.01,-0.01,0.01,-0.01,-8506.410529881616
284,0.0,0.01,0.01,-0.01,0.01,0.0,-7749.355901741477
285,0.0,0.01,0.01,-0.01,-0.01,0.01,-8507.98718604
286,0.0,0.01,0.01,-0.01,-0.01,0.0,-7750.90196918885
287,0.0,0.01,0.01,-0.01,-0.01,-0.01,-8393.780965056401
288,0.0,0.01,0.01,0.01,-0.01,0.0,-7749.291463603601
289,0.0,0.01,0.01,0.01,-0.01,-0.01,-8506.392452771237
290,0.0,0.01,0.01,0.01,-0.01,0.01,-8396.160442219225
291,0.0,0.01,0.01,0.01,0.0,0.01,-8388.362659880024
292,0.0,0.01,0.01,0.01,0.0,-0.01,-8387.977628325409
293,0.0,0.01,0.01,0.01,0.0,0.0,-7700.88579250548
294,0.0,0.01,0.01,0.01,0.01,-0.01,-8393.853892808484
295,0.0,0.01,0.01,0.01,0.01,0.0,-7750.923626848901
296,0.0,0.01,0.01,0.01,0.01,0.01,-8508.008032010497
297,0.0,0.01,-0.01,-0.01,-0.01,0.01,-11387.339110098577
298,0.0,0.01,-0.01,-0.01,-0.01,0.0,-11258.637090225624
299,0.0,0.01,-0.01,-0.01,-0.01,-0.01,-11383.203775641605
300,0.0,0.01,-0.01,-0.01,0.01,-0.01,-11387.299626886681
301,0.0,0.01,-0.01,-0.01,0.01,0.0,-11258.654279521637
302,0.0,0.01,-0.01,-0.01,0.01,0.01,-11383.228954990656
303,0.0,0.01,-0.01,-0.01,0.0,0.01,-11395.477740657607
304,0.0,0.01,-0.01,-0.01,0.0,-0.01,-11395.43717584457
305,0.0,0.01,-0.01,-0.01,0.0,0.0,-11272.575336588226
306,0.0,0.01,-0.01,0.01,0.01,-0.01,-11383.310681374802
307,0.0,0.01,-0.01,0.01,0.01,0.01,-11387.384142385969
308,0.0,0.01,-0.01,0.01,0.01,0.0,-11258.713487197225
309,0.0,0.01,-0.01,0.01,-0.01,0.01,-11383.304706590041
310,0.0,0.01,-0.01,0.01,-0.01,-0.01,-11387.340390636326
311,0.0,0.01,-0.01,0.01,-0.01,0.0,-11258.692265790223
312,0.0,0.01,-0.01,0.01,0.0,0.01,-11395.537093514162
313,0.0,0.01,-0.01,0.01,0.0,0.0,-11272.578309415201
314,0.0,0.01,-0.01,0.01,0.0,-0.01,-11395.5516115026
315,0.0,0.01,-0.01,0.0,0.0,0.0,-11133.085176526096
316,0.0,0.01,-0.01,0.0,0.0,-0.01,-11252.451281415184
317,0.0,0.01,-0.01,0.0,0.0,0.01,-11252.460404088224
318,0.0,0.01,-0.01,0.0,-0.01,-0.01,-11243.077674224398
319,0.0,0.01,-0.01,0.0,-0.01,0.0,-11116.005941165842
320,0.0,0.01,-0.01,0.0,-0.01,0.01,-11243.143415016102
321,0.0,0.01,-0.01,0.0,0.01,-0.01,-11243.143839150864
322,0.0,0.01,-0.01,0.0,0.01,0.01,-11243.141082275042
323,0.0,0.01,-0.01,0.0,0.01,0.0,-11116.000669542917
324,0.0,0.0,0.01,0.0,0.01,-0.01,-9073.623235002624
325,0.0,0.0,0.01,0.0,0.01,0.01,-9073.677911781024
326,0.0,0.0,0.01,0.0,0.01,0.0,-8921.790096531986
327,0.0,0.0,0.01,0.0,0.0,-0.01,-8923.76148602957
328,0.0,0.0,0.01,0.0,0.0,0.01,-8923.841404159397
329,0.0,0.0,0.01,0.0,0.0,0.0,-8779.869717519681
330,0.0,0.0,0.01,0.0,-0.01,0.0,-8921.764404728463
331,0.0,0.0,0.01,0.0,-0.01,-0.01,-9073.62418755833
332,0.0,0.0,0.01,0.0,-0.01,0.01,-9073.662099315983
333,0.0,0.0,0.01,0.01,0.0,0.0,-8768.358020319121
334,0.0,0.0,0.01,0.01,0.0,0.01,-8917.590922402009
335,0.0,0.0,0.01,0.01,0.0,-0.01,-8917.502155605727
336,0.0,0.0,0.01,0.01,-0.01,0.0,-8917.548238738442
337,0.0,0.0,0.01,0.01,-0.01,0.01,-9055.493925008881
338,0.0,0.0,0.01,0.01,-0.01,-0.01,-9070.224834601984
339,0.0,0.0,0.01,0.01,0.01,0.01,-9070.265977347135
340,0.0,0.0,0.01,0.01,0.01,0.0,-8917.543139369536
341,0.0,0.0,0.01,0.01,0.01,-0.01,-9055.442348167744
342,0.0,0.0,0.01,-0.01,-0.01,-0.01,-9055.42008072084
343,0.0,0.0,0.01,-0.01,-0.01,0.0,-8917.519342333924
344,0.0,0.0,0.01,-0.01,-0.01,0.01,-9070.243501206276
345,0.0,0.0,0.01,-0.01,0.01,-0.01,-9070.218739388416
346,0.0,0.0,0.01,-0.01,0.01,0.01,-9055.517144151361
347,0.0,0.0,0.01,-0.01,0.01,0.0,-8917.57581312889
348,0.0,0.0,0.01,-0.01,0.0,0.01,-8917.587900546361
349,0.0,0.0,0.01,-0.01,0.0,-0.01,-8917.495734195048
350,0.0,0.0,0.01,-0.01,0.0,0.0,-8768.26101005405
351,0.0,0.0,0.0,0.01,0.0,-0.01,6664.23714237884
352,0.0,0.0,0.0,0.01,0.0,0.01,6663.899831740368
353,0.0,0.0,0.0,0.01,0.0,0.0,7027.808918592783
354,0.0,0.0,0.0,0.01,0.01,-0.01,6966.342457885924
355,0.0,0.0,0.0,0.01,0.01,0.01,6145.024083161616
356,0.0,0.0,0.0,0.01,0.01,0.0,6664.697733760001
357,0.0,0.0,0.0,0.01,-0.01,0.0,6665.486539589761
358,0.0,0.0,0.0,0.01,-0.01,-0.01,6145.457745420901
359,0.0,0.0,0.0,0.01,-0.01,0.01,6969.15733602744
360,0.0,0.0,0.0,0.0,0.01,0.0,7030.132599124995
361,0.0,0.0,0.0,0.0,0.01,0.01,6664.815455699042
362,0.0,0.0,0.0,0.0,0.01,-0.01,6665.240145010084
363,0.0,0.0,0.0,0.0,0.0,0.01,7027.2090294025
364,0.0,0.0,0.0,0.0,0.0,0.0,7881.631472773809
365,0.0,0.0,0.0,0.0,0.0,-0.01,7028.3997791447055
366,0.0,0.0,0.0,0.0,-0.01,0.0,7030.0417104783355
367,0.0,0.0,0.0,0.0,-0.01,0.01,6664.7098161302765
368,0.0,0.0,0.0,0.0,-0.01,-0.01,6664.3468599734015
369,0.0,0.0,0.0,-0.01,0.0,-0.01,6664.240244500805
370,0.0,0.0,0.0,-0.01,0.0,0.01,6663.789301505296
371,0.0,0.0,0.0,-0.01,0.0,0.0,7028.997539339689
372,0.0,0.0,0.0,-0.01,0.01,-0.01,6149.186680562499
373,0.0,0.0,0.0,-0.01,0.01,0.01,6966.685835555624
374,0.0,0.0,0.0,-0.01,0.01,0.0,6665.148707491044
375,0.0,0.0,0.0,-0.01,-0.01,0.0,6664.599769
376,0.0,0.0,0.0,-0.01,-0.01,-0.01,6967.204841006656
377,0.0,0.0,0.0,-0.01,-0.01,0.01,6149.812305306121
378,0.0,0.0,-0.01,0.0,0.01,-0.01,4832.1817370988165
379,0.0,0.0,-0.01,0.0,0.01,0.01,4831.503722342361
380,0.0,0.0,-0.01,0.0,0.01,0.0,4873.074630522921
381,0.0,0.0,-0.01,0.0,0.0,-0.01,4877.547798550249
