,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
12,-95.743627,-95.530565,-95.259551,-95.181101,-94.856797,-94.61821,-94.226409,-93.562205,-92.938011,-92.107418,-91.466765,-90.557562,-89.531178,-88.224134,-86.931734,-85.504962,-83.963931,-82.33914,-80.456268,-78.500753,-76.245183,-73.796065,-70.900155,-67.951005,-64.729678,-61.183771,-57.256628,-52.92598,-48.229426,-42.897488,-36.671029,-28.984961,-18.22331,13.581811,26.47555,34.910208,41.664776,47.441093,52.545504,57.157877,61.362211,65.232671,68.810726,72.082153,75.199119,78.089938,80.826437,83.380848,85.77078,87.988881,90.078692,91.997698,93.840506,95.58951,97.20585
13,-85.533707,-85.517735,-85.392801,-85.177035,-84.859075,-84.454325,-84.260144,-83.605619,-82.968999,-82.275602,-81.500965,-80.656837,-79.645472,-78.514713,-77.04927,-75.632044,-74.069351,-72.390565,-70.497349,-68.518245,-65.940076,-63.854808,-61.104267,-57.930531,-54.699188,-50.633043,-46.374064,-41.615682,-36.187404,-29.614045,-20.872007,-2.639958,21.671056,30.49219,37.324842,43.104793,48.196164,52.785665,56.983972,60.859139,64.599604,67.631715,70.773525,73.886116,76.604391,79.223114,81.694626,84.010814,86.188579,88.220474,90.136324,91.923252,93.605004,95.228602,96.699084
14,-75.101196,-75.084915,-74.53045,-74.487008,-74.177011,-73.786988,-73.543092,-73.081992,-72.303302,-71.586518,-70.811146,-69.984055,-68.971647,-67.819677,-66.261545,-64.879772,-63.294083,-61.546541,-59.621713,-57.459968,-55.071321,-52.561339,-49.677392,-46.40899,-42.660102,-38.34546,-33.244129,-27.205097,-19.192407,5.91915,20.106061,29.213422,35.443202,40.81148,45.579045,49.722365,53.916814,57.458826,60.94441,64.214316,67.299906,70.135813,72.890408,75.471102,77.942835,80.283405,82.493561,84.590267,86.553379,88.410446,90.163882,91.926069,93.488623,94.820134,96.213678
15,-63.194918,-63.184407,-63.088566,-62.883012,-62.602508,-62.079525,-61.620196,-61.062318,-60.41039,-59.618506,-58.736249,-57.847789,-57.024935,-55.82319,-54.466762,-52.650476,-51.048223,-48.99642,-46.930607,-44.521238,-41.808252,-38.948026,-35.350382,-31.182762,-26.102731,-19.787433,-8.619922,15.41146,23.733338,29.961283,35.209884,39.875197,44.090467,47.997044,51.651274,55.055923,58.705441,61.754776,64.654123,67.193479,69.847627,72.335489,74.759101,77.012915,79.184661,81.269095,83.234743,85.109257,86.89392,88.653811,90.244282,91.568307,93.159081,94.536578,95.767251
16,-49.689365,-49.686862,-49.565863,-49.350508,-49.049317,-48.451173,-47.946677,-47.339105,-46.649173,-45.820503,-44.815115,-43.693894,-42.485978,-41.469178,-39.908873,-37.73054,-35.649531,-33.251705,-30.488234,-27.283069,-23.309561,-18.159008,-10.191937,11.38987,19.375229,25.279282,30.159959,34.374548,38.167433,41.817286,45.228078,48.480181,51.5274,54.486771,57.323443,60.000658,62.603235,65.24756,67.678087,70.015792,72.265383,74.394462,76.454333,78.444496,80.350083,82.264774,84.006829,85.662662,87.237918,88.5549,89.997718,91.497878,92.820596,94.050534,95.217827
17,-32.108927,-32.105085,-31.935321,-31.650648,-31.19937,-30.679782,-29.795376,-28.969285,-27.985403,-26.803222,-25.321375,-23.60987,-21.540441,-19.913817,-17.312221,-13.422017,-4.712888,10.962892,16.318923,20.602569,24.347729,27.830717,31.102341,34.201319,37.214134,40.037816,42.867847,45.512112,48.090145,50.6066,53.065106,55.479308,57.815982,59.99829,62.245385,64.440498,66.571412,68.717299,70.836263,72.5697,74.464223,76.308146,78.074822,79.782247,81.530922,83.105712,84.619247,86.075322,87.45717,88.784615,90.008321,91.260446,92.431819,93.534314,94.578296
18,18.164623,18.159116,18.395795,18.792571,19.230912,19.922451,20.954311,21.902929,22.93677,24.064805,25.296865,26.6741,28.093538,29.588347,30.891512,32.094974,33.684917,35.275313,37.395743,39.154407,40.928162,42.699484,44.53922,46.007821,48.433638,50.157082,52.096155,53.945026,55.793212,57.638681,59.476183,61.312733,63.112278,64.739168,66.669854,68.539641,69.995377,71.688788,73.348629,74.975811,76.558642,78.092575,79.691236,81.119617,82.517121,83.867762,85.191384,86.425472,87.639208,88.796797,89.913317,90.968272,91.994918,92.971948,93.899016
19,40.014038,39.980534,40.083741,40.233646,40.439794,40.702347,40.984827,41.403913,41.847865,42.413592,42.944695,43.585622,44.330376,45.078933,45.974945,46.820206,47.433955,48.406981,49.378773,50.459883,51.890265,53.051561,53.981275,55.532026,56.547294,57.906519,59.29965,60.692934,62.05952,63.440228,64.830979,66.235671,67.625653,69.025609,70.420338,71.806309,73.18114,74.539907,76.048892,77.297294,78.584172,79.840494,81.070523,82.295906,83.461945,84.608394,85.696863,86.765698,87.794639,88.78608,89.701734,90.634293,91.515811,92.368107,93.177124
20,52.810189,52.793264,52.847101,52.93676,53.092351,53.218844,53.410391,53.639412,53.939859,54.250058,54.569696,54.995742,55.442188,55.924694,56.477834,57.056255,57.682825,58.300517,58.70281,59.565404,60.337391,61.140715,61.990366,62.886652,63.820494,64.786923,65.82867,66.91411,67.908875,68.9236,69.952172,71.001506,71.951563,73.100859,74.073462,75.155812,76.199199,77.255918,78.305919,79.34257,80.366756,81.378283,82.373813,83.342607,84.297671,85.22672,86.129996,86.900669,87.839242,88.646225,89.47906,90.252317,90.99698,91.708872,92.392001
21,62.488804,62.470823,62.504377,62.560888,62.640347,62.742914,62.866681,63.012001,63.180182,63.383291,63.606386,63.86084,64.143915,64.455987,64.801318,65.175372,65.601589,66.056192,66.530117,67.037196,67.422378,67.97727,68.566832,69.186109,69.83539,70.512369,71.22014,71.956087,72.667458,73.401334,74.148751,74.935891,75.68738,76.470551,77.275153,78.053227,78.852249,79.648273,80.45138,81.246944,82.033539,82.816179,83.578717,84.343069,85.084759,85.815896,86.532486,87.227677,87.896876,88.558677,89.197567,89.817714,90.415486,90.989939,91.427597
