gm1,gm3_a0,gm3_0a,gm5_a00,gm5_0a0,gm5_00a,frequency
145,-0.005,0.01,-0.0024,0.01,0.0,0.0,-3768.153951154681
146,-0.005,0.01,-0.0024,0.01,0.0,0.01,-3905.3291792726886
147,-0.005,0.01,-0.0024,0.01,0.01,0.0,-3896.494348672836
148,-0.005,0.01,-0.0024,0.01,0.01,0.01,-4033.1141542944165
149,-0.005,0.01,-0.0024,0.01,0.01,-0.01,-4023.4665155016014
150,-0.005,0.01,-0.0024,0.01,-0.01,0.0,-3896.5296795517215
151,-0.005,0.01,-0.0024,0.01,-0.01,0.01,-4023.58056489
152,-0.005,0.01,-0.0024,0.01,-0.01,-0.01,-4032.9699951375605
153,-0.005,0.01,-0.0024,-0.01,0.0,-0.01,-3905.184322692676
154,-0.005,0.01,-0.0024,-0.01,0.0,0.0,-3768.1722439936
155,-0.005,0.01,-0.0024,-0.01,0.0,0.01,-3905.332928831569
156,-0.005,0.01,-0.0024,-0.01,0.01,0.0,-3896.542039154944
157,-0.005,0.01,-0.0024,-0.01,0.01,0.01,-4023.6120270747037
158,-0.005,0.01,-0.0024,-0.01,0.01,-0.01,-4032.9793939820493
159,-0.005,0.01,-0.0024,-0.01,-0.01,0.0,-3896.4821139888636
160,-0.005,0.01,-0.0024,-0.01,-0.01,0.01,-4033.0957373422807
161,-0.005,0.01,-0.0024,-0.01,-0.01,-0.01,-4023.4431730006886
162,-0.005,-0.01,0.0,-0.01,0.0,-0.01,2128.340788995136
163,-0.005,-0.01,0.0,-0.01,0.0,0.0,2182.619083183081
164,-0.005,-0.01,0.0,-0.01,0.0,0.01,2128.307295883561
165,-0.005,-0.01,0.0,-0.01,0.01,0.0,2128.319013829264
166,-0.005,-0.01,0.0,-0.01,0.01,0.01,2129.233574417161
167,-0.005,-0.01,0.0,-0.01,0.01,-0.01,2033.1163965684639
168,-0.005,-0.01,0.0,-0.01,-0.01,0.0,2128.207833045009
169,-0.005,-0.01,0.0,-0.01,-0.01,0.01,2032.9628226153209
