,order parameter model prediction with depth 6,order parameter model dft value with depth 6,strain model prediction with depth 6,strain model dft value with depth 6,structure metric model prediction with depth 6,order parameter model prediction with depth 10,order parameter model dft value with depth 10,strain model prediction with depth 10,strain model dft value with depth 10,structure metric model prediction with depth 10
28,-7365.90897082548,-7475.852617038169,-8939.63177462277,-9055.4423481677,1056.3289114738,-7482.395320705599,-7475.852617038169,-9073.6232350026,-9055.4423481677,1056.3289114738
29,950.4333652711501,815.940315079561,-11044.8030355993,-11025.1713606659,-4023.4431730007,868.554222907536,815.940315079561,-10967.5055432879,-11025.1713606659,-4023.4431730007
30,-796.5183849496583,-989.5208292225,-7002.117013829668,-6837.4244152384,-6968.4970131706,-980.0829169881761,-989.5208292225,-6030.6404012112,-6837.4244152384,-6968.4970131706
31,-7015.549506386958,-7166.690822816101,-10395.885322592661,-10412.4836407301,9595.0059027182,-7166.862168211683,-7166.690822816101,-10384.2882574756,-10412.4836407301,9595.0059027182
32,3076.7011573509863,3619.7071366560044,-7002.117013829668,-7654.6470839056,6664.2402445008,3248.6909533495214,3619.7071366560044,-7180.57016568,-7654.6470839056,6664.2402445008
33,-11384.717792406054,-11387.910663935714,-13199.43136896145,-13138.4733933124,-3727.0625734069,-11404.309564885443,-11387.910663935714,-13147.7274053316,-13138.4733933124,-3727.0625734069
34,-180.55510396169086,23.796386447716003,-10672.979482990662,-11025.5508368801,4666.5453290217,-163.001855459524,23.796386447716003,-11110.5646047956,-11025.5508368801,4666.5453290217
35,-7245.613657340139,-7285.380257004721,-8905.680604446172,-9073.7091557284,-11343.7310373442,-7298.697874461889,-7285.380257004721,-9070.322929727,-9073.7091557284,-11343.7310373442
36,7634.937335823445,7617.475118309904,-8904.02507271138,-9075.4166049304,-3305.5176055642,7619.49120235181,7617.475118309904,-9057.2392500818,-9075.4166049304,-3305.5176055642
37,-3805.7042115391027,-3905.184322692676,4421.568205044845,4126.6462944845,-242.8630507561,-3843.267814869025,-3905.184322692676,4183.7648755568,4126.6462944845,-242.8630507561
38,4607.195338099019,4675.315119628177,-8077.335728984893,-7700.904045492,1354.8040555216,4675.251119652865,4675.315119628177,-7749.3559017415,-7700.904045492,1354.8040555216
39,9695.808507174379,9951.15559051944,4366.3724326465135,4022.5582376969,-11356.0730100251,9596.5005445929,9951.15559051944,4129.8397177412,4022.5582376969,-11356.0730100251
40,-3325.0768589591075,-3294.293469316096,-11255.833994431885,-11388.5955656738,-3230.3699992863,-3294.3564903552247,-3294.293469316096,-11384.5534706869,-11388.5955656738,-3230.3699992863
41,-3325.0768589591075,-3432.0051478891237,-8047.336544931688,-7696.4914891225,-4023.6120270747,-3431.920671264409,-3432.0051478891237,-7750.1967911808,-7696.4914891225,-4023.6120270747
42,-3325.0768589591075,-3230.381139219364,-11367.888705158713,-11243.1438391509,815.9403150796,-3245.331034389249,-3230.381139219364,-11387.2996268867,-11243.1438391509,815.9403150796
43,-3325.0768589591075,-3230.232456797956,2543.2529780421,2573.9908093472,4585.1313541056,-3245.1661716496,-3230.232456797956,2593.31753326325,2573.9908093472,4585.1313541056
44,-4014.1896913991586,-3987.8059259519287,2543.2529780421,2593.3323014024,-11213.3009757656,-3965.6970934359615,-3987.8059259519287,2574.0323103461,2593.3323014024,-11213.3009757656
45,3076.7011573509863,2728.9795694124955,-11350.849144663141,-11395.7719444624,923.5988404114,3248.6909533495214,2728.9795694124955,-11387.6001278646,-11395.7719444624,923.5988404114
46,2337.1218241895017,2032.9628226153209,-11195.983519036072,-11243.36926791,23.6869881572,2128.307295883561,2032.9628226153209,-11257.388673109,-11243.36926791,23.6869881572
