,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
10,-113.48081,-113.442404,-113.356191,-113.193014,-112.882925,-112.577317,-112.022849,-111.496996,-110.879598,-110.208068,-109.389738,-108.446437,-107.381749,-106.185069,-104.839028,-103.332858,-101.650768,-99.791023,-97.836055,-95.500765,-92.90201,-90.553309,-88.176718,-85.720395,-83.119272,-80.439191,-77.588246,-74.668265,-71.650076,-68.531017,-65.309919,-61.920991,-58.559904,-55.155411,-51.70366,-48.230006,-44.729103,-41.267286,-37.902989,-34.663719,-31.596167,-28.80279,-26.402942,-24.550394,-23.35281,-22.911403
11,-104.194186,-104.187514,-104.104686,-103.939994,-103.607523,-103.321152,-102.777488,-102.266663,-101.649304,-100.995846,-100.228886,-99.292557,-98.055999,-97.074036,-95.754244,-94.269493,-92.607463,-90.770418,-88.701997,-86.189421,-84.134681,-81.921891,-79.645154,-77.223076,-74.69712,-72.045864,-69.072243,-66.18267,-63.170487,-60.04842,-56.850746,-53.509874,-50.072542,-46.501727,-42.856218,-39.146976,-35.390193,-31.453383,-27.399488,-23.313792,-19.076848,-14.822623,-10.210995,-5.258315,6.524493,7.607913
12,-94.715832,-94.500219,-94.239202,-94.15631,-93.876783,-93.535367,-93.108028,-92.60862,-92.045902,-91.46046,-90.666895,-89.765787,-88.736295,-87.555782,-86.252454,-84.777627,-83.145269,-81.309366,-79.227727,-76.898631,-75.026436,-72.887287,-70.475047,-68.077088,-65.437451,-62.774806,-60.034882,-57.120828,-54.049064,-50.841424,-47.468014,-43.928751,-40.206905,-36.285997,-32.064107,-27.583717,-22.562822,-16.717245,-8.743802,10.172806,15.821689,19.8324,22.444822,23.985615,24.933299,25.185107
13,-84.397354,-84.346106,-84.240132,-84.025224,-83.735467,-83.386904,-82.995199,-82.502558,-81.942428,-81.365038,-80.645464,-79.674803,-78.650584,-77.487379,-76.179455,-74.679143,-73.002704,-71.1375,-69.010944,-67.105189,-65.161822,-62.968106,-60.680116,-58.286233,-55.718047,-52.992064,-50.097904,-47.024952,-43.750088,-39.93646,-36.152554,-32.035284,-27.475133,-22.204878,-15.651407,-4.854884,14.472254,20.220713,24.28283,27.382195,29.627691,31.478532,32.866976,33.731469,34.553248,34.761101
14,-73.790788,-73.765392,-73.366251,-73.157003,-72.894735,-72.536058,-72.111696,-71.603209,-71.044341,-70.351139,-69.679675,-68.485561,-67.413279,-66.79215,-65.439928,-63.359488,-61.826003,-60.050155,-58.021419,-56.100528,-54.034912,-51.780486,-49.34939,-46.760501,-44.073875,-41.068213,-37.810903,-34.244701,-30.271176,-25.740986,-20.345787,-13.102744,8.336325,17.113155,22.526535,26.647194,30.259295,32.991428,35.257131,37.160016,38.798753,39.979362,40.835833,41.363875,41.901539,41.863838
15,-61.63537,-61.622614,-61.540666,-61.399114,-61.204287,-60.721956,-60.362653,-59.627065,-58.99025,-58.294022,-57.444291,-56.644412,-55.674744,-54.415953,-53.0017,-51.378816,-48.85828,-47.125378,-45.210884,-43.091848,-40.779994,-38.232897,-35.492958,-31.410482,-27.947349,-24.576272,-19.616575,-13.120251,7.232481,16.281,21.830446,26.147572,29.732186,32.816995,35.509003,37.84677,39.962381,41.730817,43.312904,44.640291,45.741001,46.679821,47.417828,47.884418,48.056284,48.108326
16,-47.69438,-47.676656,-47.591595,-47.430877,-47.230443,-46.62276,-46.244524,-45.394488,-44.68287,-43.885004,-42.904034,-41.762207,-40.799189,-39.374176,-37.672641,-35.686511,-32.92276,-31.105801,-28.034277,-25.077711,-21.634558,-17.296451,-11.243052,8.03527,15.674823,20.235449,24.376757,27.930138,31.061801,33.861566,36.422495,38.757517,40.891111,42.880137,44.960833,46.212997,47.687266,48.982827,50.113726,51.095786,51.911847,52.601231,53.121532,53.519469,53.759669,53.818877
17,-28.920851,-28.890842,-28.781059,-28.563194,-28.28717,-27.404589,-26.82762,-26.123037,-24.492385,-23.257692,-21.619491,-19.617738,-17.234964,-14.741759,-10.32405,4.976099,12.479776,16.653232,19.409742,23.153525,25.906539,28.474456,30.869916,33.160001,35.457127,37.566151,39.505977,41.338705,43.204797,44.864584,46.498018,48.011086,49.452779,50.816667,52.039309,53.205398,54.252197,55.193583,56.038009,56.768929,57.390273,57.901659,58.324156,58.614432,58.787721,58.833876
18,22.907241,22.939894,23.049842,23.178037,23.434331,23.75282,24.696607,25.319345,26.02893,27.68033,28.705294,29.89955,31.19977,32.530066,33.4836,35.087853,35.947985,37.82525,38.496189,40.4445,41.825892,43.136591,44.480701,45.805607,47.1219,48.411606,49.774953,50.995448,52.164568,53.331566,54.457108,55.531889,56.55028,57.512227,58.409889,59.24867,60.019405,60.713954,61.337425,61.902175,62.355038,62.745661,63.057616,63.271986,63.379282,63.422763
19,42.388696,42.393532,42.434258,42.509683,42.613275,42.744003,42.898292,43.401458,43.744813,44.460656,45.148682,45.780508,46.480316,47.247723,47.964022,48.571133,49.384831,50.185119,50.967303,51.77257,52.425065,53.484623,54.344365,55.228179,56.101337,56.963003,57.822947,58.676366,59.509783,60.391572,61.154628,61.936491,62.652623,63.347106,64.001586,64.612902,65.176437,65.689972,66.149657,66.567658,66.911128,67.186839,67.417557,67.582598,67.667968,67.70167
